     k            crst-ang           q             ang          -t          crst-t
 0.55655964E+01 0.25840976E+00 0.72000000E+01 0.00000000E+00 0.19810474E+01 0.20258840E-01
 0.55755964E+01 0.27163828E+00 0.72000000E+01 0.00000000E+00 0.19629055E+01 0.21257736E-01
 0.55855964E+01 0.28543547E+00 0.72000000E+01 0.00000000E+00 0.19448169E+01 0.22297479E-01
 0.55955964E+01 0.29981817E+00 0.72000000E+01 0.00000000E+00 0.19267813E+01 0.23379162E-01
 0.56055964E+01 0.31480302E+00 0.72000000E+01 0.00000000E+00 0.19087985E+01 0.24503856E-01
 0.56155964E+01 0.33040605E+00 0.72000000E+01 0.00000000E+00 0.18908683E+01 0.25672578E-01
 0.56255964E+01 0.34664279E+00 0.72000000E+01 0.00000000E+00 0.18729905E+01 0.26886295E-01
 0.56355964E+01 0.36352979E+00 0.72000000E+01 0.00000000E+00 0.18551648E+01 0.28146053E-01
 0.56455964E+01 0.38108176E+00 0.72000000E+01 0.00000000E+00 0.18373910E+01 0.29452740E-01
 0.56555964E+01 0.39931261E+00 0.72000000E+01 0.00000000E+00 0.18196690E+01 0.30807183E-01
 0.56655964E+01 0.41823658E+00 0.72000000E+01 0.00000000E+00 0.18019985E+01 0.32210225E-01
 0.56755964E+01 0.43786643E+00 0.72000000E+01 0.00000000E+00 0.17843793E+01 0.33662590E-01
 0.56855964E+01 0.45821474E+00 0.72000000E+01 0.00000000E+00 0.17668112E+01 0.35164982E-01
 0.56955964E+01 0.47929164E+00 0.72000000E+01 0.00000000E+00 0.17492940E+01 0.36717916E-01
 0.57055964E+01 0.50110744E+00 0.72000000E+01 0.00000000E+00 0.17318274E+01 0.38321912E-01
 0.57155964E+01 0.52367105E+00 0.72000000E+01 0.00000000E+00 0.17144114E+01 0.39977385E-01
 0.57255964E+01 0.54698760E+00 0.72000000E+01 0.00000000E+00 0.16970456E+01 0.41684454E-01
 0.57355964E+01 0.57106421E+00 0.72000000E+01 0.00000000E+00 0.16797299E+01 0.43443392E-01
 0.57455964E+01 0.59590244E+00 0.72000000E+01 0.00000000E+00 0.16624640E+01 0.45254046E-01
 0.57555964E+01 0.62150623E+00 0.72000000E+01 0.00000000E+00 0.16452479E+01 0.47116446E-01
 0.57655964E+01 0.64787430E+00 0.72000000E+01 0.00000000E+00 0.16280812E+01 0.49030225E-01
 0.57755964E+01 0.67500511E+00 0.72000000E+01 0.00000000E+00 0.16109637E+01 0.50995000E-01
 0.57855964E+01 0.70289349E+00 0.72000000E+01 0.00000000E+00 0.15938954E+01 0.53010117E-01
 0.57955964E+01 0.73153422E+00 0.72000000E+01 0.00000000E+00 0.15768759E+01 0.55074921E-01
 0.58055964E+01 0.76091808E+00 0.72000000E+01 0.00000000E+00 0.15599050E+01 0.57188464E-01
 0.58155964E+01 0.79103325E+00 0.72000000E+01 0.00000000E+00 0.15429827E+01 0.59349608E-01
 0.58255964E+01 0.82186381E+00 0.72000000E+01 0.00000000E+00 0.15261086E+01 0.61556913E-01
 0.58355964E+01 0.85339390E+00 0.72000000E+01 0.00000000E+00 0.15092826E+01 0.63808958E-01
 0.58455964E+01 0.88560223E+00 0.72000000E+01 0.00000000E+00 0.14925046E+01 0.66103925E-01
 0.58555964E+01 0.91846291E+00 0.72000000E+01 0.00000000E+00 0.14757742E+01 0.68439662E-01
 0.58655964E+01 0.95194931E+00 0.72000000E+01 0.00000000E+00 0.14590913E+01 0.70813982E-01
 0.58755964E+01 0.98603401E+00 0.72000000E+01 0.00000000E+00 0.14424558E+01 0.73224651E-01
 0.58855964E+01 0.10206827E+01 0.72000000E+01 0.00000000E+00 0.14258674E+01 0.75668940E-01
 0.58955964E+01 0.10558591E+01 0.72000000E+01 0.00000000E+00 0.14093260E+01 0.78143995E-01
 0.59055964E+01 0.10915260E+01 0.72000000E+01 0.00000000E+00 0.13928313E+01 0.80646899E-01
 0.59155964E+01 0.11276452E+01 0.72000000E+01 0.00000000E+00 0.13763832E+01 0.83174712E-01
 0.59255964E+01 0.11641789E+01 0.72000000E+01 0.00000000E+00 0.13599815E+01 0.85724513E-01
 0.59355964E+01 0.12010905E+01 0.72000000E+01 0.00000000E+00 0.13436260E+01 0.88293499E-01
 0.59455964E+01 0.12383407E+01 0.72000000E+01 0.00000000E+00 0.13273165E+01 0.90878694E-01
 0.59555964E+01 0.12758935E+01 0.72000000E+01 0.00000000E+00 0.13110529E+01 0.93477383E-01
 0.59655964E+01 0.13137100E+01 0.72000000E+01 0.00000000E+00 0.12948349E+01 0.96086644E-01
 0.59755964E+01 0.13517577E+01 0.72000000E+01 0.00000000E+00 0.12786624E+01 0.98704047E-01
 0.59855964E+01 0.13900073E+01 0.72000000E+01 0.00000000E+00 0.12625352E+01 0.10132743E+00
 0.59955964E+01 0.14284372E+01 0.72000000E+01 0.00000000E+00 0.12464531E+01 0.10395518E+00
 0.60055964E+01 0.14670281E+01 0.72000000E+01 0.00000000E+00 0.12304160E+01 0.10658588E+00
 0.60155964E+01 0.15057687E+01 0.72000000E+01 0.00000000E+00 0.12144236E+01 0.10921869E+00
 0.60255964E+01 0.15446649E+01 0.72000000E+01 0.00000000E+00 0.11984758E+01 0.11185403E+00
 0.60355964E+01 0.15837481E+01 0.72000000E+01 0.00000000E+00 0.11825724E+01 0.11449415E+00
 0.60455964E+01 0.16230685E+01 0.72000000E+01 0.00000000E+00 0.11667133E+01 0.11714266E+00
 0.60555964E+01 0.16626922E+01 0.72000000E+01 0.00000000E+00 0.11508982E+01 0.11980427E+00
 0.60655964E+01 0.17027158E+01 0.72000000E+01 0.00000000E+00 0.11351271E+01 0.12248588E+00
 0.60755964E+01 0.17432569E+01 0.72000000E+01 0.00000000E+00 0.11193996E+01 0.12519583E+00
 0.60855964E+01 0.17844510E+01 0.72000000E+01 0.00000000E+00 0.11037157E+01 0.12794368E+00
 0.60955964E+01 0.18264571E+01 0.72000000E+01 0.00000000E+00 0.10880752E+01 0.13074065E+00
 0.61055964E+01 0.18695092E+01 0.72000000E+01 0.00000000E+00 0.10724779E+01 0.13360321E+00
 0.61155964E+01 0.19138963E+01 0.72000000E+01 0.00000000E+00 0.10569236E+01 0.13655165E+00
 0.61255964E+01 0.19599438E+01 0.72000000E+01 0.00000000E+00 0.10414122E+01 0.13960874E+00
 0.61355964E+01 0.20079859E+01 0.72000000E+01 0.00000000E+00 0.10259435E+01 0.14279771E+00
 0.61455964E+01 0.20583437E+01 0.72000000E+01 0.00000000E+00 0.10105174E+01 0.14614072E+00
 0.61555964E+01 0.21114190E+01 0.72000000E+01 0.00000000E+00 0.99513363E+00 0.14966549E+00
 0.61655964E+01 0.21677655E+01 0.72000000E+01 0.00000000E+00 0.97979207E+00 0.15341032E+00
 0.61755964E+01 0.22279502E+01 0.72000000E+01 0.00000000E+00 0.96449256E+00 0.15741421E+00
 0.61855964E+01 0.22924926E+01 0.72000000E+01 0.00000000E+00 0.94923493E+00 0.16171255E+00
 0.61955964E+01 0.23619114E+01 0.72000000E+01 0.00000000E+00 0.93401902E+00 0.16634045E+00
 0.62055964E+01 0.24367543E+01 0.72000000E+01 0.00000000E+00 0.91884468E+00 0.17133480E+00
 0.62155964E+01 0.25174614E+01 0.72000000E+01 0.00000000E+00 0.90371173E+00 0.17672475E+00
 0.62255964E+01 0.26042677E+01 0.72000000E+01 0.00000000E+00 0.88862003E+00 0.18252486E+00
 0.62355964E+01 0.26972976E+01 0.72000000E+01 0.00000000E+00 0.87356940E+00 0.18874186E+00
 0.62455964E+01 0.27963129E+01 0.72000000E+01 0.00000000E+00 0.85855970E+00 0.19535711E+00
 0.62555964E+01 0.29006205E+01 0.72000000E+01 0.00000000E+00 0.84359076E+00 0.20232035E+00
 0.62655964E+01 0.30067698E+01 0.72000000E+01 0.00000000E+00 0.82866243E+00 0.20938962E+00
 0.62755964E+01 0.31114711E+01 0.72000000E+01 0.00000000E+00 0.81377456E+00 0.21633567E+00
 0.62855964E+01 0.32084369E+01 0.72000000E+01 0.00000000E+00 0.79892698E+00 0.22272265E+00
